Title,DOI,Link,screening,nickname,eligibility
Synthetic COVID-19 CXR Dataset Dataset,,https://github.com/hasibzunair/synthetic-covid-cxr-dataset,,,synthetic
COVID-19 Image Data Collection Dataset,,https://github.com/ieee8023/covid-chestxray-dataset,,,casecollection
X-Ray image information,,https://www.dataandsons.com/categories/health-and-medicine/x-ray-image-information,notpublic,,
Padchest Sample,,https://bimcv.cipf.es/bimcv-projects/padchest/,,,nocovid
BIMCV-COVID-19+ complete dataset,10.21227/w3aw-rv39,https://bimcv.cipf.es/bimcv-projects/bimcv-covid19/,,bimcv,
Performance of the best method on other dataset [16].,,,no_chestxraydata,,
Evaluation results of VGG16 combined with different classifiers.,,,no_chestxraydata,,
PoCOVIDScreen - Lung Ultrasound data for COVID-19 (POCUS),,http://datasets.coronawhy.org/dataset.xhtml?persistentId=doi:10.5072/FK2/46KAJH,no_chestxraydata,,
Padchest complete dataset,,https://bimcv.cipf.es/bimcv-projects/padchest/,,,nocovid
Chest X-rays of COVID-19 Pandemic Infected Patients,10.17632/fvp7m8c9ss,https://data.mendeley.com/datasets/fvp7m8c9ss,,,no_meta
Labeled Optical Coherence Tomography (OCT) and Chest X-Ray Images for Classification,,https://data.mendeley.com/datasets/rscbjbr9sj,,mooney,nocovid
COVID-19 Detection from Chest X-Rays using Deep Learning,,https://web.www.healthdatagateway.org/dataset/3aa01779-831e-478f-b4e3-7c111d642b18,notpublic,,
Project MONAI 2020 Bootcamp Challenge Dataset,,https://zenodo.org/record/4621041,,,remix
"X-Ray Diffraction data from SARS-CoV-2 Nucleocapsid N2b domain, source of 6WZQ structure",,,no_chestxraydata,,
RAIG COVID19 compiled dataset.zip,,https://figshare.com/articles/dataset/RAIG_dataset_zip/14151854,,,remix
"X-Ray Diffraction data from SARS-CoV-2 Nucleocapsid N2b domain, source of 6WZO structure",,,no_chestxraydata,,
COVID-19 DATABASE - Società Italiana di Radiologia Medica e Interventistica,,https://www.sirm.org/category/senza-categoria/covid-19/,,,casecollection
COVID 19 XRay and CT Scan Image Dataset,,https://www.kaggle.com/ssarkar445/covid-19-xray-and-ct-scan-image-dataset,,,remix
X-ray Images of the Solar Corona from the Skylab S-054 Telescope,,,no_chestxraydata,,
COVID Case series | OMI,,,no_chestxraydata,,
Negative Portable Chest X-rays in the Context of the COVID-19 Pandemic: An Aid for Triaging Patients Suspected of COVID-19 Infection.,,,na,,
Evaluation results of transfer learning methods.,,,no_chestxraydata,,
Tutorial 5 COVID-19 Chest X-ray images,,,no_chestxraydata,,
A therapeutic non-self-reactive SARS-CoV-2 antibody protects from lung pathology in a COVID-19 hamster model. Kreye et al,,,no_chestxraydata,,
COVIDGR Dataset,,https://github.com/ari-dasci/OD-covidgr,,covidgr,
Combined COVID-19 Dataset,10.17632/3pxjb8knp7,https://data.mendeley.com/datasets/3pxjb8knp7,,,no_info
Data from: Raw diffraction data (CBF) for a structure of SARS-CoV-2 Main Protease bound to 2-Methyl-1-tetralone,,,no_chestxraydata,,
Turkey Job Placement: ytd: X Ray Security Operator,,,no_chestxraydata,,
X-ray Crystallography Market by End-user and Geography - Forecast and Analysis 2020-2024,,,no_chestxraydata,,
Early Continuous Positive Airway Pressure (CPAP) in COVID-19 Confirmed or Suspected Patients,,,no_chestxraydata,,
Data from: X-Ray Structural and Biological Evaluation of a Series of Potent and Highly Selective Inhibitors of Human Coronavirus Papain-Like Proteases,,,no_chestxraydata,,
X-RAY RADIANCE AND MAGNETIC FLUX,,,no_chestxraydata,,
Data from: Evolution of an Active Stellar Corona on Time Scales of Days,,,no_chestxraydata,,
Solar Features - Solar Flares - X-rays,,,no_chestxraydata,,
"The Hybrid Dataset of CXR images, CT images and clinical indicators used in our article: Fast automated detection of COVID-19 from medical images using convolutional neural networks",10.6084/m9.figshare.13235009.v1,https://figshare.com/articles/dataset/The_Hybrid_Dataset_of_CXR_images_CT_images_and_clinical_indicators_used_in_our_article_Fast_automated_detection_of_COVID-19_from_medical_images_using_convolutional_neural_networks/13235009/1,,figshare_bejing,remix
COVID19 X-ray Images Dataset,,https://www.kaggle.com/imranzaman5202/covid19-xray-images-dataset,,,remix
GOES-12 Solar X-ray Imager Archive,,,no_chestxraydata,,
The impact of teaching experimental research on-lineResearch-informed teaching and COVID [Article].pdf,,,no_chestxraydata,,
THE HARD X-RAY SPECTRUM & VARIABILITY OF I ZW 1doblePoint ACCRETION PHYSICS & JET LAUNCHI,,,no_chestxraydata,,
Data from: X-Ray Structural and Biological Evaluation of a Series of Potent and Highly Selective Inhibitors of Human Coronavirus Papain-Like Proteases,,,no_chestxraydata,,
Data from: Decoding disc-corona-jet variability in hard state black hole X-ray binaries,,,no_chestxraydata,,
Comparison of results between our proposed method and other methods.,,,no_chestxraydata,,
Data from: ILLUMINATING THE DISK-CORONA-JET CONNECTION IN NLS1 GALAXIES,,,no_chestxraydata,,
"Industrial Computed Tomography Equipment Market by End-user, Application, and Geography - Forecast and Analysis 2021-2025",,,no_chestxraydata,,
Flaring Corona of FK Aqr,,,no_chestxraydata,,
Evaluation results of Xception combined with different classifiers.,,,no_chestxraydata,,
"“Initial experience with Convalescent Plasma in COVID-19 patients with severe respiratory failure, case series",,,no_chestxraydata,,
Optimized and scalable synthesis of magnetic nanoparticles for RNA extraction in response to developing countries' needs for the detection and control of SARS-CoV-2.,,,no_chestxraydata,,
4U 1957+11doblePoint A POSSIBLE BLACK HOLE ACCRETION DISK CORONA SOURCE,,,no_chestxraydata,,
Do X-rays Make Disk Emission Lines in Quiescent Dwarf NovaequestionMark,,,no_chestxraydata,,
Data from: Plasma measurements of the Fe XVII L-shell emission and blending with F VIII and F IX,,,no_chestxraydata,,
Mds2 siemens,,,no_chestxraydata,,
The trained model parameters used in COVID-19 detection.,,,no_chestxraydata,,
Dental Radiology Equipment Market by Product and Geography - Forecast and Analysis 2021-2025,,,no_chestxraydata,,
PDB 6WZO,,,no_chestxraydata,,
X-ray fluorescence analyses of sediment core GS15-198-38-CC in Scoresbysund Fan,,,no_chestxraydata,,
"Severe Acute Respiratory Syndrome-Coronavirus Papain-Like Protease Inhibitors: Design, Synthesis, Protein-Ligand X-ray Structure and Biological Evaluation",,,no_chestxraydata,,
Optimized and scalable synthesis of magnetic nanoparticles for RNA extraction in response to developing countries' needs for the detection and control of SARS-CoV-2.,,,no_chestxraydata,,
INTRODUCTION OF COVID-NEWS-US-NNK AND COVID-NEWS-BD-NNK DATASET,,,no_chestxraydata,,
Results of fitness value for MRFODE and other methods.,,,no_chestxraydata,,
X-ray crystallographic structure of EfCBM33A,,,no_chestxraydata,,
Home-Based Resistance Training for Older Subjects during the COVID-19 Outbreak in Italy: Preliminary Results of a Six-Months RCT,,,no_chestxraydata,,
The CNN architecture factors.,,,no_chestxraydata,,
COVID 19 SARS COV2 targets and small molecule data including insilico analysis,,,no_chestxraydata,,
Pneumonia + covid 19 X-ray dataset,,https://www.kaggle.com/vikasbhadoria/pneumonia-covid-19-xray-dataset,,,remix
Comparison results of MRFODE and other MH methods in terms of accuracy.,,,no_chestxraydata,,
Mean rank obtained using Friedman test for each method.,,,no_chestxraydata,,
Evaluation results based on CNN.,,,no_chestxraydata,,
The running time in seconds required to extract 961 features from one image.,,,no_chestxraydata,,
Comparison with MobileNet and related works.,,,no_chestxraydata,,
Complete List of ClearChoiceMD Urgent Care Locations,,,no_chestxraydata,,
Urgent care without insurance card,,,no_chestxraydata,,
Mia radiology clayton,,,na,,
Targeted attack success rates Rs (%) of targeted UAPs against the COVIDNet-CXR Large model to each target class.,,,no_chestxraydata,,
Data from: Sinus computed tomography findings in patients with COVID-19,,,no_chestxraydata,,
PDB 6WZQ,,,no_chestxraydata,,
"Industrial Radiography Equipment Market by Product, End-user, and Geography - Forecast and Analysis 2021-2025",,,no_chestxraydata,,
CovID-19 X-ray,,https://www.kaggle.com/cagataybrk/covid19,,,no_info
Structure of a functional cap-binding domain in Rift Valley fever virus L protein,,,no_chestxraydata,,
"Orthopedic Medical Imaging Market by Product, End-user, and Geography - Forecast and Analysis 2020-2024",,,no_chestxraydata,,
"Refurbished Medical Imaging Equipment Market by Product, End-user, and Geography - Forecast and Analysis 2021-2025",,,no_chestxraydata,,
Accuracy of the novel models for prediction of patients at risk of high-flow oxygen support.,,,no_chestxraydata,,
Adjusted coefficients from the baseline and evolutionary predictive model for requirement of high-flow oxygen support using the 1000 bootstrap samples calibration cohort.,,,no_chestxraydata,,
"Individual, sum and product of degree of opacity scores and geographic extent scores.",,,no_chestxraydata,,
Nylon mesh-based sample holder for fixed-target serial femtosecond crystallography,,,no_chestxraydata,,
COVID-19 Chest X-Ray Image Repository,,https://www.kaggle.com/mdzabirulislam/covid19-chest-xray-image-repository,,,no_info
Data from: Discovery of Ketone-Based Covalent Inhibitors of Coronavirus 3CL Proteases for the Potential Therapeutic Treatment of COVID-19,,,no_chestxraydata,,
Canadian SARS cases by province and territory (PHAC 2003).,,,no_chestxraydata,,
COVID-19 Chest X Rays,,https://www.kaggle.com/rupeshs/covid19-chest-x-rays,,,remix
Table_1_Supporting SARS-CoV-2 Papain-Like Protease Drug Discovery: In silico Methods and Benchmarking.XLSX,,,no_chestxraydata,,
COVID-19 X-Ray Dataset With Preprocessed Images,,https://www.kaggle.com/shreyanshgupta/covid19-xray-dataset-with-preprocessed-images,,,remix
Curated Chest X-Ray Image Dataset for COVID-19,,https://www.kaggle.com/unaissait/curated-chest-xray-image-dataset-for-covid19,,,remix
COVID-19 Chest X-Ray Detection,,https://www.kaggle.com/akhilkasare/covid19-chest-xray-detection,,,no_info
covid-19 chest x-ray detection dataset,,https://www.kaggle.com/rahulmakwana/covid19-chest-xray-detection-dataset,,,no_info
COVID-19 Radiography Database,,https://www.kaggle.com/tawsifurrahman/COVID19-radiography-database,,,remix
Covid-GAN and Covid-Net mini Chest X-ray,,https://www.kaggle.com/yash612/covidnet-mini-and-gan-enerated-chest-xray,,,synthetic
COVID-19 Chest X-Ray Dataset,,https://www.kaggle.com/digvijayyadav/covid19-chestxray,,,remix
Covid-19 X-ray - Two proposed Databases,,https://www.kaggle.com/edoardovantaggiato/covid19-xray-two-proposed-databases,,,remix
COVID-2019 Dataset with Chest X-Ray Images,,https://www.kaggle.com/zainaali/covid2019-dataset-with-chest-xray-images,,,remix
Test Set for COVID-19 Chest X-Ray,,https://www.kaggle.com/rruchi/test-set-for-covid19-chest-xray,,,no_info
COVID-19 chest xray,,https://www.kaggle.com/bachrr/covid-chest-xray,,,remix
Covid X-ray Dataset,,https://www.kaggle.com/whysodarkbro/covid-xray-dataset,,,remix
covid-19 chest X ray small dataset,,https://www.kaggle.com/hanswu12/covid19,,,no_info
Covid-19 preprocessed Xray Dataset,,https://www.kaggle.com/amritpal333/covid19-preprocessed-dataset,,,no_info
COVID 19 Xray Image Dataset with Huge Samples,,https://www.kaggle.com/mr3suvhro/covid-19-xray-image-dataset-with-huge-samples,,,no_info
COVID-19 Xray Image Classification,,https://www.kaggle.com/onuigwevitus/covid19-xray-image-classification,,,no_info
COVID19+PNEUMONIA+NORMAL Chest X-Ray Images,,https://www.kaggle.com/sachinkumar413/covid-pneumonia-normal-chest-xray-images,,,remix
Covid 19 detection using x ray scan,,https://www.kaggle.com/anirudhherur/covid-19-detection-using-x-ray-scan?select=X-Ray+Image+DataSet,,,remix
Chest Xray for covid-19 detection,,https://www.kaggle.com/fusicfenta/chest-xray-for-covid19-detection,,,remix
COVID-19 Xray Dataset (Train & Test Sets),,https://www.kaggle.com/khoongweihao/covid19-xray-dataset-train-test-sets,,,remix
Covid-19 Chest X-rays,,https://www.kaggle.com/armanjr/covid-ctscans,,,remix
Covid-19 Xray images,,https://www.kaggle.com/akkinasrikar/covid19-xray-images,,,no_info
xray-covid,,https://www.kaggle.com/rashaddism/xraycovid,,,remix
Covid-19 Xray images using Cnn,,https://www.kaggle.com/akkinasrikar/covid19-xray-images-using-cnn,,,no_info
Chest x-ray images for covid19,,https://www.kaggle.com/dorraelmekki/chestxray-images-for-covid19-the-largest-dataset,,,remix
Covid-19 X-Ray,,https://www.kaggle.com/hnchinmaya/covid19-xray,,,no_info
Covid-19:Chest XRay dataset,,https://www.kaggle.com/ankitbarai507/covid19chest-xray-dataset-for-non-covid-patients,,,no_info
COVID-19 X rays,,https://www.kaggle.com/andrewmvd/convid19-x-rays/version/2?select=xrays.csv,,,casecollection
COVID-19 & Healthy X-Rays,,https://www.kaggle.com/usmantahirkiani/covid19-vs-healthy-xray,,,no_info
Lung Area Specific COVID-19 Xray Dataset,,https://www.kaggle.com/fsang2692/lung-area-specific-covid19-xray-dataset,,,remix
Covid_w/wo_Pneumonia Chest Xray,,https://www.kaggle.com/rashikrahmanpritom/covid-wwo-pneumonia-chest-xray,,,no_info
COVID-19 Chest X-ray,,https://www.kaggle.com/sonain/covid19-chest-xray,,,no_info
Covid_19 x-ray dataset,,https://www.kaggle.com/shadey/covid-19-xray-dataset,,,no_info
Pneumonia & COVID-19 Image Dataset,,https://www.kaggle.com/gibi13/pneumonia-covid19-image-dataset,,,remix
Covid-19 Detection,,https://www.kaggle.com/manishkc06/covid19-detection,,,no_info
COVID-19 Chest CT image Augmentation GAN Dataset,,,no_chestxraydata,,
Chest X-ray BSP,,https://www.kaggle.com/tahsin/chest-xray-bsp,,,no_info
ieee8023-covid-chestxray-dataset,,https://www.kaggle.com/alfarih31/ieee8023covidchestxraydataset,,,remix
"COVID-19, SARS, MERS X-ray Images Dataset",,https://www.kaggle.com/dataset/057e1b6dc41d9691e59dded4445fa8cc2f0b4b5cbcb49aef9583d95233799d5a,,,remix
COVID19-xray,,https://www.kaggle.com/anaselmasry/covid19xray,,,no_info
Covid X-rays,,https://www.kaggle.com/pranjallk1995/covid-xrays,,,no_info
COVID-19 X-ray Images5,,https://www.kaggle.com/uddiptadas/covid19-xray-images5,,,no_info
covid19 chest xray,,https://www.kaggle.com/aaryapatel/covid19-chest-xray,,,no_info
COVID-19 image data collection,,https://www.kaggle.com/crained/covid19-image-data-collection,,,remix
NIHCC Chest X-Ray,,https://www.kaggle.com/neilturley/nihcc-chest-xray,,nih_subset,nocovid
COVID-19 Patients Lungs X Ray Images 10000,,https://www.kaggle.com/nabeelsajid917/covid-19-x-ray-10000-images,,,no_info
Covid-19 X-ray Dataset,,https://www.kaggle.com/awsaf49/covid19-xray-dataset,,,remix
NIH Chest X-rays,,https://www.kaggle.com/nih-chest-xrays,,nih,nocovid
COVID-19 image data collection,,https://www.kaggle.com/akorenvais/covid19-image-data-collection,,,remix
DLAI3 Hackathon Phase3 COVID-19 CXR Challenge,,https://www.kaggle.com/jonathanchan/dlai3-hackathon-phase3-covid19-cxr-challenge/version/1,,,remix
QaTa-COV19 Dataset,,https://www.kaggle.com/aysendegerli/qatacov19-dataset,,,remix
COVID19_Pneumonia_Normal_Chest_Xray_PA_Dataset,,https://www.kaggle.com/amanullahasraf/covid19-pneumonia-normal-chest-xray-pa-dataset,,,remix
COVID-19GAN_fake_covid19_chest_xrays,,https://www.kaggle.com/ghcann/covid19gan-fake-covid19-chest-xrays,,,synthetic
Pneumonia (virus) vs COVID-19,,https://www.kaggle.com/muhammadmasdar/pneumonia-virus-vs-covid19,,,remix
COVID-19 positive chest X-rays,,https://www.kaggle.com/meetoza/covid19-positive-chest-xrays,,,remix
Largest COVID-19 Dataset,,https://www.kaggle.com/endiqq/largest-covid19-dataset,,,remix
Covid-19 Image Dataset,,https://www.kaggle.com/pranavraikokte/covid19-image-dataset,,,remix
Chest Xray Images PNEUMONIA and Covid-19,,https://www.kaggle.com/masumrefat/chest-xray-images-pneumonia-and-covid19,,,remix
covid chestxray dataset share your data and algo,,https://www.kaggle.com/robertonavoni/covid-chestxray-dataset-share-your-data-and-algo,,,remix
COVID-19 patient X-ray image dataset,,https://www.kaggle.com/wahib04/covid19-patient-xray-image-dataset,,,no_info
COVID-19 Prediction using X-Rays Dataset,,https://www.kaggle.com/sethupavan12/covid19-prediction-using-xrays-dataset,,,no_info
COVID19 CUSTOMIZED X-RAY DATASET,,https://www.kaggle.com/mushaxyz/covid19-customized-xray-dataset,,,no_info
COVID-Ti Dataset,,https://www.kaggle.com/endiqq/largest-covid19-dataset,,,remix
Covid-19Densenet121-CNN_Mdel,,,no_chestxraydata,,
ieee-image-dataset,,https://www.kaggle.com/creatorpiyush/ieeeimagedataset,,,remix
corona chest x-ray prediction,,https://www.kaggle.com/rahulmakwana/corona-chest-xray-prediction,,,no_info
Covid X-Ray Dataset,,https://www.kaggle.com/sanyamss99/covid-xray-dataset,,,no_info
COVID-19 image dataset collection (volumes folder),,https://www.kaggle.com/mathurinache/covid19-image-dataset-collection-volumes-folder,,,no_info
COVIDx CT,,,no_chestxraydata,,
Chest Xray Images,,https://www.kaggle.com/jamiedowat/chest-xray-images-guangzhou-women-and-childrens,,,nocovid
s-COVID-19B,,https://www.kaggle.com/saitallavarjula/scovid19b,,,no_info
COVID-19 Medical Face Mask Detection Dataset,,,no_chestxraydata,,
Covid-chestXray,,https://www.kaggle.com/dapy15/covidchestxray,,,remix
covidx_v3,,https://www.kaggle.com/manan2m/covidx-v3,,,no_info
COVID-ARDS-SARS-Streptococcus & Others,,https://www.kaggle.com/vivek7gopu/covidardssarsstreptococcus-others,,,remix
Project MONAI 2020 Bootcamp Challenge Dataset,,https://www.kaggle.com/ericspod/project-monai-2020-bootcamp-challenge-datasett,,,remix
Covid-19_test_data_x_ray,,https://www.kaggle.com/adit11/covid19-test-data-x-ray,,,no_info
xray_covid19,,https://www.kaggle.com/alexkort/xray-covid19,,,no_info
Repository of Coronavirus Genomes,,,no_chestxraydata,,
